entity,year,gdp_pc,repression,iv_repression,gross_fixed_capital_formation_perecent_of_gdp,trade_percentageof_gdp,inflation_consumer_prices_annual_perecentage_growth,population_growth_annual_percentage,expenditure_on_education,ln_gdp_pc
Mali,2008,787.156519,1.022,0.77,21.79318338,53.64301931,9.170988137,3.28621889,18.0316906,6.668427109202372
Mali,2009,803.4867389,1.022,0.77,19.97768485,40.54138158,2.463751886,3.257805694,16.95940971,6.688960680872112
Mali,2010,821.1812866,1.502,0.804,21.07358555,48.81669537,1.108926907,3.248514009,16.50391006,6.710743897013724
Mali,2011,818.399031,1.502,0.804,22.17852847,43.18146991,2.955643952,3.23250831,18.25834084,6.7073500306191205
Mali,2012,786.3234713,1.267,0.773,17.99356965,49.42523562,5.323128471,2.919987285,22.40337944,6.667368248863545
Mali,2013,788.8194482,1.152,0.761,24.81105765,54.60324399,-0.606736356,2.920782575,16.62344933,6.6705374584104495
Mali,2014,813.9756613,1.413,0.788,26.04393721,51.07868219,0.883814547,3.160656917,18.22426033,6.701930465432673
Mali,2015,838.1198694,1.413,0.788,23.75470248,53.57517601,1.450690576,3.12892801,18.15549088,6.731161132495954
Mali,2016,860.7530755,1.413,0.788,25.55927618,53.61261936,-1.799647071,3.167012913,13.90388012,6.757807675259011
Mali,2017,878.5613484,1.008,0.703,24.17024226,49.49199849,1.759857429,3.188236494,16.53433037,6.778285738313577
Mali,2018,892.9783228,1.068,0.708,22.84918108,50.69984625,0.299546507,3.125423237,17.52153015,6.7945623060018
Mali,2019,909.7510697,1.202,0.744,24.04161312,53.99871328,-1.658266948,3.018144943,15.35702991,6.81317101230911
Mali,2020,872.3894268,1.202,0.744,22.18678806,56.04154744,0.43808894,3.017513615,15.1426096,6.771235914584154
Mali,2021,872.3325094,1.325,0.757,23.48693764,56.71505256,3.925602831,3.060357966,16.21821022,6.7711706693449685
Mali,2022,877.8178424,1.268,0.752,21.13727651,61.56132749,9.621476085,3.009425926,18.18999672,6.7774391033177785
Mali,2023,892.3609078,1.664,0.753,20.86464609,57.53326218,2.058802283,2.974005376,19.12176895,6.793870655906366
Malta,1995,12336.79135,2.376,0.957,25.83248768,177.0623736,4.426645503,0.697143007,12.90393066,9.42034124338893
Malta,1996,12719.0152,2.376,0.957,26.07282542,164.0985961,2.054,0.656524534,13.08564281,9.450853412513275
